X,Y,Z
334260.19,7456277.5,-372
334861.38,7456285.0,-373
335557.5,7456294.0,-418
336259.19,7456368.5,-433
335893.91,7455672.5,-361
335167.13,7455578.5,-363
334448.56,7455541.0,-370
