E,362214.66,7463178.5,-106
E,362606.03,7462941,-102
E,362558.59,7462344,-100
E,362030.88,7462222,-107
E,362261.53,7461225,-98
E,362897.94,7461253,-87
E,363152.88,7460885,-85
E,362910.59,7460387,-85
E,362039.53,7460398.5,-98
E,364767.31,7461062,-24
E,365255.38,7461109.5,-13
E,365315.91,7460589,-12
E,364770.88,7460107.5,-14
E,364689.41,7460363.5,-23
E,364222.44,7460244,-31
E,366178.13,7463965.5, 0
E,366232.59,7463957, 0
E,366128.34,7463882, 0
E,366035.44,7463809.5, 0
E,365984.63,7463705.5, 0
E,366024.47,7463641.5, 0
E,366118.94,7463553.5, 0
E,366137.66,7463453.5, 0
E,366157.78,7463334, 0
E,366146.88,7463159.5, 0
E,366175,7463002, 0
E,366168.31,7462911, 0
E,366174.63,7462782.5, 0
E,366165.16,7462591.5, 0
E,366161.31,7462468.5, 0
E,366102.91,7462361.5, 0
E,366057.25,7462119, 0
E,366038.53,7461963.5, 0
E,366021.16,7461675, 0
E,365976.41,7461338.5, 0
E,365922.69,7461013.5, 0
E,365851.28,7460815.5, 0
E,365825.88,7460699, 0
E,365823.16,7460590, 0
E,365809.06,7460479.5, 0
E,365773.34,7460381.5, 0
E,365789.66,7460269, 0
E,365734.5,7460216, 0
E,365697.69,7460101.5, 0
